Day 24 单词学习 — Group 8 #26-50
============================================

 1. element        元素；要素
 2. discount       折扣；忽视
 3. setting        环境，背景；设置
 4. refrain        克制，抑制
 5. equip          装备，配备
 6. sector         部门，领域；扇形
 7. urgent         紧急的，急迫的
 8. virtual        虚拟的；实际上的
 9. celebrity      名人，名流
10. partly         部分地，在一定程度上
11. breed          品种；繁殖，养育
12. portray        描绘，描写；扮演
13. code           密码，代码；准则
14. absorb         吸收；吸引
15. host           主人，东道主；主办，主持
16. incident       事件；冲突
17. justify        证明……有理；为……辩护
18. skeptical      怀疑的
19. economics      经济学
20. fee            费用，报酬
21. underestimate  低估
22. tough          艰难的；坚强的；严厉的
23. concentrate    集中，专注
24. allocate       分配，分派
25. former         以前的；前者的
