Day 21 单词学习 — Group 7 #1-25
============================================

 1. habitat          n.（动植物的）生活环境，栖息地
 2. strive           vi. 努力，奋斗
 3. differ           v. 不同；（意见）相左
 4. virtue           n. 美德；优点，长处
 5. brand            n. 品牌；种类 / v. 打烙印于；加污名于
 6. expertise        n. 专门知识（或技能等），专长
 7. inspire          v. 鼓舞，鼓励；给...以灵感
 8. shrink           v.(shrank; shrunk) 收缩，缩水；缩小，减少
 9. trap             v. 使陷于困境，困住；设陷阱捕捉 / n. 圈套；陷阱
10. reject           v. 拒绝接受；（因质量不好而）废弃 / n. 次品
11. nutrition        n. 营养
12. mission          n. 使命；使团
13. depict           v. 描写，描述
14. legal            a. 法律（上）的；合法的
15. neglect          v. 忽视，忽略 / n. 疏忽
16. pace             n. 节奏；步速，速度 / v. 确定速度，调整节奏
17. sophisticated    a. 老于世故的，老练的；精密的，复杂的；高雅的
18. revolution       n. 革命；巨变，大变革
19. fundamental      a. 基本的，基础的；根本的 / n. 基本原理，基本法则
20. intense          a. 十分强烈的，剧烈的；严肃紧张的；热切的
21. arouse           v. 引起，激起；唤醒
22. exert            v. 施加（压力等）；竭力，努力
23. distinguish      v. 辨别，区分；看清，认出；使杰出
24. corporation      n.（大）公司；法人（团体）
25. devote           v. 献身，致力，专心
