Day 23 单词学习 — Group 8 #1-25
============================================

 1. interpret      解释；口译
 2. visual         视觉的
 3. accurate       准确的，精确的
 4. committee      委员会
 5. dislike        不喜欢，厌恶
 6. render         使成为；提供，给予
 7. counterpart    对应的人（或事物）
 8. endure         忍耐，忍受；持续
 9. foster         促进，培养；收养
10. efficient      效率高的，有能力的
11. reproduce      繁殖；复制，再现
12. fierce         凶猛的，猛烈的；强烈的
13. sacrifice      牺牲；献祭
14. bother         打扰，麻烦
15. cycle          循环；周期
16. reserve        保留，储备；预订
17. entrepreneur   企业家
18. chronic        慢性的，长期的
19. recall         回忆起；召回
20. alike          相似的，相像的
21. cater          迎合，满足；提供饮食
22. scan           扫描；浏览
23. deem           认为，视为
24. contemporary   当代的，同时代的
25. derive         起源，衍生；获得
