Day 4 单词自测 —— 在箭头后面填中文意思，填完告诉我

 1. abandon         →抛弃
 2. abstract        →抽象的
 3. academy         →学院
 4. accommodate     →住宿
 5. accompany       →陪伴
 6. accomplish      →包含
 7. acknowledge     →获得学位
 8. acquire         →询问
 9. adapt           →适应
10. adequate        →充足的
11. adjust          →调整
12. administration  →管理员
13. adolescent      →
14. advocate        →倡导
15. affair          →
16. aggressive      →斗争性的
17. allocate        →
18. alternative     →可获得的
19. ambiguous       →模棱两可的
20. ambitious       →有雄心的
21. annual          →每年的
22. anticipate      →古老的
23. apparent        →出现
24. appreciate      →欣赏的
25. approach        →路径
26. appropriate     →
27. approximate     →
28. arise           →升起
29. artificial      →
30. assign          →安排
