Day 27 单词学习 — Group 10 #1-25
============================================

 1. via            经由，通过
 2. plus           加；正号；而且
 3. prompt         促使，激励；迅速的
 4. volunteer      志愿者；自愿
 5. alcohol        酒精
 6. initial        最初的，初步的
 7. convenient     方便的
 8. institute      机构，学院；建立
 9. stretch        伸展，拉伸
10. instant        立即的；瞬间
11. odd            奇怪的；奇数的
12. intelligent    聪明的，智能的
13. dedicate       奉献，致力于
14. commission     委员会；佣金；委托
15. vision         视力，视觉；远见
16. sustain        维持，支撑
17. announce       宣布，宣告
18. academy        学院，学会
19. feedback       反馈
20. hypothesis     假设，假说
21. ease           容易；缓解，减轻
22. modest         谦虚的；适度的
23. well-being     幸福，福祉
24. leisure        闲暇，空闲
25. circumstance   情况，环境
