Day 25 单词学习 — Group 9 #1-25
============================================

 1. evil           邪恶的，恶劣的
 2. witness        目击者；目击，见证
 3. whereas        然而，但是
 4. crash          撞击，坠毁；暴跌
 5. rural          农村的，乡村的
 6. arise          出现，产生
 7. outstanding    杰出的，突出的
 8. ultimate       最终的，最后的
 9. cooperate      合作，协作
10. array          排列；一系列
11. objective      目标；客观的
12. cope           应对，处理
13. hinder         阻碍，妨碍
14. fulfil(l)      履行，实现；满足
15. document       文件，公文；记录
16. bureau         局，办事处
17. flexible       灵活的
18. passion        激情，热情
19. conference     会议
20. caution        谨慎，小心；警告
21. request        请求，要求
22. boom           繁荣，激增；轰鸣
23. core           核心；果核
24. collective     集体的，共同的
25. assign         分配，指派
