Day 28 单词学习 — Group 10 #26-50
============================================

 1. fashion        时尚，流行；方式
 2. stable         稳定的；马厩
 3. recruit        招募，招聘；新兵
 4. detect         察觉，发现
 5. occupy         占据，占用
 6. actual         实际的，真实的
 7. alleviate      减轻，缓解
 8. signal         信号；表明
 9. deprive        剥夺，使丧失
10. deserve        应得，值得
11. migrate        迁移，移居
12. accompany      陪伴，伴随
13. stem           茎；起源于；阻止
14. minimum        最小量，最低限度
15. reluctant      不情愿的，勉强的
16. component      组成部分，部件
17. confirm        确认，证实
18. distinct       清晰的；截然不同的
19. exploit        利用；剥削；开发
20. dynamic        动态的，有活力的
21. section        部分，章节；部门
22. sensitive      敏感的；灵敏的
23. span           跨度，持续时间；跨越
24. compel         强迫，迫使
25. imperative     必要的，紧急的；命令
