Day 18 单词学习 — Group 5 #26-50
============================================

 1. ongoing          a. 仍在进行的，持续存在的
 2. anticipate       v. 预料，期望；期待（好事）；先于...行动
 3. expense          n. 费用，价钱；花费，花销
 4. obtain           v. 获得
 5. stimulate        v. 激励，激发；刺激，使兴奋
 6. emphasis         n. 强调，重点，重要性
 7. encounter        v.&n. 遭遇，遭到；偶然碰到
 8. incorporate      v. 合并，使并入，包含；注册，成立
 9. discipline       n. 学科；纪律；训练 / v. 惩罚，处罚；自我控制
10. immediate        a. 立即的，当前的；直接的；紧接的
11. extent           n. 范围，限度，程度；长度，面积
12. household        n. 家庭，户 / a. 家庭的，家用的
13. overseas         a. 来自海外的，国外的 / ad. 在海外，在国外
14. crucial          a. 至关重要的，决定性的
15. consist          v.(of) 由...组成，由...构成；(in) 在于；(with) 符合，一致
16. vital            a. 必不可少的，极其重要的；充满生机的
17. superior         a. 较好的；较高的，更高的 / n. 上级，上司
18. norm             n. 标准，规范，常规；准则
19. apart            ad. 相隔，相距；分离，分开
20. convey           vt. 传达，表达；运送，运输，传送
21. ecosystem        n. 生态系统
22. rare             a. 稀有的，罕见的；珍贵的；（肉）半熟的
23. meanwhile        ad. 与此同时；在此期间
24. annual           a. 每年的，年度的 / n. 年刊，年鉴
25. regardless of    prep. 不顾，不管
